"","DBN","school_name","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score","AP Test Takers","Total Exams Taken","Number of Exams with scores 3 4 or 5","exams_per_student","high_score_percent","avg_class_size","frl_percent","total_enrollment","ell_percent","sped_percent","selfcontained_num","asian_per","black_per","hispanic_per","white_per","male_per","female_per","Total Cohort","grads_percent","dropout_percent","boro","lat","long","bn","schoolname","responder","score","response_type","question"
"3409","02M542","MANHATTAN BRIDGES HIGH SCHOOL",66,336,378,344,1058,67,102,59,1.52238805970149,57.843137254902,23,83.5,541,72.6,1.7,5,0.2,0,99.8,0,51.4,48.6,111,69.4,13.5,"Manhattan",40.7650267080004,-73.9925165779997,"M542","Manhattan Bridges High School","aca_t_11",39,"teacher","acad. expectations"
"3410","02M543","NEW DESIGN HIGH SCHOOL",73,391,395,382,1168,2.5,NA,NA,NA,NA,23,66.1,423,5.4,17.5,9,3.8,30.3,62.2,2.6,38.3,61.7,101,67.3,7.9,"Manhattan",40.7168672240004,-73.9895319429996,"M543","New Design High School","aca_t_11",28,"teacher","acad. expectations"
"3411","02M544","INDEPENDENCE HIGH SCHOOL",14,389,371,335,1095,2.5,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,17.2,13.1,NA,NA,NA,"M544","Independence High School","aca_t_11",15,"teacher","acad. expectations"
"3412","02M545","HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES",78,412,581,431,1424,61,96,89,1.57377049180328,92.7083333333333,22,82.6,353,38.2,2.3,0,89.5,3.4,4,2.3,51.3,48.7,54,92.6,0,"Manhattan",40.7168672240004,-73.9895319429996,"M545","High School for Dual Language and Asian Studies","aca_t_11",25,"teacher","acad. expectations"
"3413","02M550","LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS",26,368,436,352,1156,2.5,NA,NA,NA,NA,19,79.5,397,90.2,2,0,25.7,19.9,42.1,11.8,61,39,97,49.5,19.6,NA,NA,NA,"M550","Liberty High School Academy for Newcomers","aca_t_11",22,"teacher","acad. expectations"
"3414","02M551","THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL",77,405,423,384,1212,7,7,NA,1,NA,24,73.5,430,4.2,17.9,12,2.3,37.4,49.3,10.2,60.9,39.1,77,80.5,18.2,"Manhattan",40.6907876290004,-74.0197573259996,"M551","New York Harbor School","aca_t_11",30,"teacher","acad. expectations"
"3415","02M560","HIGH SCHOOL M560 s CITY AS SCHOOL",56,498,440,477,1415,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,45.1,0.9,NA,NA,NA,"M560","High School M560 - City As School","aca_t_11",43,"teacher","acad. expectations"
"3416","02M565","URBAN ACADEMY LABORATORY HIGH SCHOOL",30,527,508,512,1547,2.5,NA,NA,NA,NA,NA,32.1,157,1.3,0,NA,5.1,33.8,38.2,20.4,40.8,59.2,46,41.3,2.2,NA,NA,NA,"M565","Urban Academy Laboratory High School","aca_t_11",52,"teacher","acad. expectations"
"3417","02M570","SATELLITE ACADEMY HIGH SCHOOL",33,350,337,345,1032,2.5,NA,NA,NA,NA,NA,72.8,248,6.5,14.1,2,1.6,35.1,59.7,2.8,38.7,61.3,379,12.7,10.8,NA,NA,NA,"M570","Satellite Academy High School","aca_t_11",48,"teacher","acad. expectations"
"3418","02M575","MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL",121,345,517,343,1205,58,100,61,1.72413793103448,61,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,45.4,16.9,NA,NA,NA,"M575","Manhattan Comprehensive Night and Day High School","aca_t_11",47,"teacher","acad. expectations"
